signal_ratio,seed,nbin,sigma_avg_SR,sigma_avg_bg4b_SR,sigma_avg_CR,sigma_avg_bg4b_CR,initialize_with_fvt,rejected_SR,rejected_bg4b_SR,rejected_CR,rejected_bg4b_CR
0.0,8,50,2.6451635,2.6451635,1.6369915,1.6369915,False,True,True,False,False
0.0,8,100,2.08735,2.08735,1.4622526,1.4622526,False,True,True,False,False
0.0,8,200,1.7859782,1.7859782,1.4879682,1.4879682,False,False,False,False,False
0.01,8,10,6.9003105,5.5419116,2.5367491,2.3408737,False,True,True,True,True
0.01,8,20,4.99403,4.178739,2.229677,2.0774834,False,True,True,True,True
0.01,8,30,4.3001018,3.6766398,1.995653,1.8758537,False,True,True,True,False
0.01,8,50,3.3927157,2.9178972,1.7252645,1.6378771,False,True,True,False,False
0.01,8,100,2.592254,2.287193,1.7219682,1.6854397,False,True,True,False,False
0.01,8,200,2.0706077,1.8795332,1.5769306,1.5638324,False,True,False,False,False
0.02,8,10,8.715993,2.67996,3.494967,3.83026,False,True,True,True,True
0.02,8,20,6.0712667,1.9258606,2.3729742,2.6211278,False,True,False,True,True
0.02,8,30,5.03659,1.9067471,2.1981964,2.3659155,False,True,False,True,True
0.02,8,50,3.96074,1.630357,1.9358051,2.0757816,False,True,False,False,True
0.02,8,100,3.0550785,1.594865,1.7460729,1.8235874,False,True,False,False,False
0.02,8,200,2.4352975,1.5764903,1.5313693,1.5781105,False,True,False,False,False
0.0,9,10,4.2531624,4.2531624,1.9454246,1.9454246,False,True,True,False,False
0.0,9,20,3.2909653,3.2909653,1.5904286,1.5904286,False,True,True,False,False
0.0,9,30,2.971169,2.971169,1.6462687,1.6462687,False,True,True,False,False
0.0,9,50,2.3670151,2.3670151,1.5635175,1.5635175,False,True,True,False,False
0.0,9,100,1.9521725,1.9521725,1.6124882,1.6124882,False,False,False,False,False
0.0,9,200,1.7631899,1.7631899,1.4447496,1.4447496,False,False,False,False,False
0.01,9,10,5.9293437,4.588218,2.3634422,2.3875406,False,True,True,True,True
0.01,9,20,4.3226695,3.3976865,1.8716286,1.7451249,False,True,True,False,False
0.01,9,30,3.8294935,3.1497781,1.5828711,1.5445747,False,True,True,False,False
0.01,9,50,3.2539804,2.757118,1.51807,1.4702276,False,True,True,False,False
0.01,9,100,2.465717,2.13604,1.4604443,1.4499376,False,True,True,False,False
0.01,9,200,2.0886679,1.8960625,1.3700397,1.36253,False,True,False,False,False
0.02,9,10,12.018352,5.2552366,2.6147118,2.513512,False,True,True,True,True
0.02,9,20,8.4361725,3.893927,2.0787075,1.990456,False,True,True,True,True
0.02,9,30,6.916132,3.3710403,1.8431238,1.7909102,False,True,True,False,False
0.02,9,50,5.4125724,2.7057722,1.7664505,1.7280505,False,True,True,False,False
0.02,9,100,3.9948046,2.1443143,1.5526922,1.521154,False,True,True,False,False
0.02,9,200,3.0146186,1.8215094,1.4644521,1.443813,False,True,False,False,False
0.0,10,10,6.916354,6.916354,2.362552,2.362552,False,True,True,True,True
0.0,10,20,5.038047,5.038047,2.190078,2.190078,False,True,True,True,True
0.0,10,30,4.3886294,4.3886294,1.8930957,1.8930957,False,True,True,False,False
0.0,10,50,3.4170897,3.4170897,1.7585824,1.7585824,False,True,True,False,False
0.0,10,100,2.643951,2.643951,1.6179711,1.6179711,False,True,True,False,False
0.0,10,200,2.126913,2.126913,1.6106638,1.6106638,False,True,True,False,False
0.01,10,10,5.481202,4.862904,3.4695368,3.8851588,False,True,True,True,True
0.01,10,20,3.9059095,3.5461922,2.5282667,2.835905,False,True,True,True,True
0.01,10,30,3.2942812,3.0007982,2.4980307,2.725558,False,True,True,True,True
0.01,10,50,2.7804155,2.5678465,2.0586753,2.202374,False,True,True,True,True
0.01,10,100,2.2396293,2.10392,1.995201,2.0727246,False,True,True,True,True
0.01,10,200,1.9365233,1.8552579,1.6986113,1.7432911,False,False,False,False,False
0.02,10,10,11.678464,4.2459793,2.1301918,2.1229255,False,True,True,True,True
0.02,10,20,8.081975,2.9540794,1.5503311,1.5617137,False,True,True,False,False
0.02,10,30,6.5789857,2.5960307,1.6899111,1.7002066,False,True,True,False,False
0.02,10,50,5.1664844,2.2282655,1.6598494,1.6657149,False,True,True,False,False
0.02,10,100,3.7270353,1.7714694,1.5041766,1.5133246,False,True,False,False,False
0.02,10,200,2.8164203,1.546093,1.4802808,1.4798034,False,True,False,False,False
0.0,11,10,4.218492,4.218492,2.765268,2.765268,False,True,True,True,True
0.0,11,20,3.246328,3.246328,2.1934433,2.1934433,False,True,True,True,True
0.0,11,30,2.6995249,2.6995249,1.8685555,1.8685555,False,True,True,False,False
0.0,11,50,2.2272155,2.2272155,1.7729973,1.7729973,False,True,True,False,False
0.0,11,100,1.9099133,1.9099133,1.6576993,1.6576993,False,False,False,False,False
0.0,11,200,1.737227,1.737227,1.564363,1.564363,False,False,False,False,False
0.01,11,10,4.970362,4.7227745,1.8052115,1.878728,False,True,True,False,False
0.01,11,20,3.4135995,3.2485776,1.553536,1.7460194,False,True,True,False,False
0.01,11,30,3.0521746,2.9139235,1.6226168,1.7018306,False,True,True,False,False
0.01,11,50,2.4479148,2.33879,1.4857546,1.5098363,False,True,True,False,False
0.01,11,100,1.9992367,1.9294645,1.4392647,1.4705971,False,True,False,False,False
0.01,11,200,1.7538998,1.7164711,1.4119443,1.4115269,False,False,False,False,False
0.02,11,10,9.173025,2.2741356,1.7571064,1.5153533,False,True,True,False,False
0.02,11,20,6.400656,1.872659,1.3645929,1.248289,False,True,False,False,False
0.02,11,30,5.207544,1.548102,1.3807646,1.373675,False,True,False,False,False
0.02,11,50,4.1714935,1.545006,1.4876623,1.4815968,False,True,False,False,False
0.02,11,100,3.132958,1.5178685,1.2608652,1.2568144,False,True,False,False,False
0.02,11,200,2.4955575,1.5337454,1.4793411,1.484156,False,True,False,False,False
0.0,12,10,5.8647594,5.8647594,1.537482,1.537482,False,True,True,False,False
0.0,12,20,4.118941,4.118941,1.6120554,1.6120554,False,True,True,False,False
0.0,12,30,3.4529517,3.4529517,1.4477257,1.4477257,False,True,True,False,False
0.0,12,50,2.854399,2.854399,1.5138437,1.5138437,False,True,True,False,False
0.0,12,100,2.2603226,2.2603226,1.6185917,1.6185917,False,True,True,False,False
0.0,12,200,1.8442202,1.8442202,1.5462308,1.5462308,False,False,False,False,False
0.01,12,10,7.091108,5.456383,2.2432308,2.2184875,False,True,True,True,True
0.01,12,20,4.9813213,3.8792202,2.0531201,2.003278,False,True,True,True,True
0.01,12,30,4.073486,3.2009864,1.8738377,1.8657008,False,True,True,False,False
0.01,12,50,3.2808745,2.649733,1.7693567,1.7631516,False,True,True,False,False
0.01,12,100,2.5312476,2.126274,1.5566654,1.5609839,False,True,True,False,False
0.01,12,200,2.1020706,1.8546718,1.6050204,1.6068515,False,True,False,False,False
0.02,12,10,9.942472,4.266445,2.619062,2.4756055,False,True,True,True,True
0.02,12,20,6.876461,2.983227,2.381977,2.3033843,False,True,True,True,True
0.02,12,30,5.6609607,2.6280458,2.2973573,2.2341366,False,True,True,True,True
0.02,12,50,4.4697227,2.2651005,2.1921978,2.1515985,False,True,True,True,True
0.02,12,100,3.362765,1.9594774,1.7061695,1.682741,False,True,False,False,False
0.02,12,200,2.5411165,1.6168051,1.5922712,1.5812664,False,True,False,False,False
0.0,13,10,5.5382895,5.5382895,1.7535979,1.7535979,False,True,True,False,False
0.0,13,20,4.074079,4.074079,1.8379357,1.8379357,False,True,True,False,False
0.0,13,30,3.4184985,3.4184985,1.5696259,1.5696259,False,True,True,False,False
0.0,13,50,2.803726,2.803726,1.4602574,1.4602574,False,True,True,False,False
0.0,13,100,2.2083652,2.2083652,1.5360103,1.5360103,False,True,True,False,False
0.0,13,200,1.8697773,1.8697773,1.4930379,1.4930379,False,False,False,False,False
0.01,13,10,8.476434,5.138185,2.3261771,2.2073073,False,True,True,True,True
0.01,13,20,6.1857,3.7904124,1.8375334,1.7762246,False,True,True,False,False
0.01,13,30,5.1265025,3.3050234,1.8357921,1.7982188,False,True,True,False,False
0.01,13,50,4.058664,2.6840243,1.7431303,1.709849,False,True,True,False,False
0.01,13,100,3.0769172,2.192586,1.5536126,1.5305697,False,True,True,False,False
0.01,13,200,2.3885264,1.8358787,1.4998692,1.4925641,False,True,False,False,False
0.02,13,10,9.47377,2.982424,2.631576,2.7926273,False,True,True,True,True
0.02,13,20,6.630381,2.3308759,1.9625221,2.01931,False,True,True,True,True
0.02,13,30,5.5210586,2.2811692,2.0634046,2.1029975,False,True,True,True,True
0.02,13,50,4.3704047,1.9044322,1.7640098,1.7938185,False,True,False,False,False
0.02,13,100,3.2647123,1.6523663,1.5442728,1.5536255,False,True,False,False,False
0.02,13,200,2.5590022,1.5949541,1.4691374,1.4750534,False,True,False,False,False
0.0,14,10,3.8084323,3.8084323,2.0687857,2.0687857,False,True,True,True,True
0.0,14,20,2.6170905,2.6170905,1.6314721,1.6314721,False,True,True,False,False
0.0,14,30,2.4636245,2.4636245,2.025537,2.025537,False,True,True,True,True
0.0,14,50,2.1805463,2.1805463,1.717624,1.717624,False,True,True,False,False
0.0,14,100,1.7926744,1.7926744,1.5926778,1.5926778,False,False,False,False,False
0.0,14,200,1.6214895,1.6214895,1.5237027,1.5237027,False,False,False,False,False
0.01,14,10,5.9495797,4.9112196,2.6638494,2.082699,False,True,True,True,True
0.01,14,20,4.3127503,3.6349366,1.9281635,1.5016313,False,True,True,False,False
0.01,14,30,3.5119598,2.960017,1.8275353,1.5446053,False,True,True,False,False
0.01,14,50,2.825121,2.386544,1.7547445,1.5825526,False,True,True,False,False
0.01,14,100,2.385999,2.1390965,1.8118308,1.7355156,False,True,True,False,False
0.01,14,200,1.9719012,1.8248436,1.6593206,1.6141177,False,True,False,False,False
0.02,14,10,11.162057,3.5055559,2.8335462,2.5886166,False,True,True,True,True
0.02,14,20,7.7868614,2.6004283,2.4802814,2.3276262,False,True,True,True,True
0.02,14,30,6.4041815,2.3671443,2.1590137,2.0384948,False,True,True,True,True
0.02,14,50,5.0129886,2.0427952,1.948219,1.8596036,False,True,True,False,False
0.02,14,100,3.7538617,1.9021219,1.743862,1.6926439,False,True,False,False,False
0.02,14,200,2.864943,1.6685231,1.6916952,1.6694432,False,True,False,False,False
0.0,15,10,4.587936,4.587936,2.024745,2.024745,False,True,True,True,True
0.0,15,20,3.3069384,3.3069384,1.6774406,1.6774406,False,True,True,False,False
0.0,15,30,2.7785153,2.7785153,1.5887778,1.5887778,False,True,True,False,False
0.0,15,50,2.4174309,2.4174309,1.5573261,1.5573261,False,True,True,False,False
0.0,15,100,1.9071814,1.9071814,1.42792,1.42792,False,False,False,False,False
0.0,15,200,1.627935,1.627935,1.5190785,1.5190785,False,False,False,False,False
0.01,15,10,4.7941465,4.137825,3.1451504,2.7022216,False,True,True,True,True
0.01,15,20,3.5305402,3.1088207,2.491069,2.2203012,False,True,True,True,True
0.01,15,30,3.0222912,2.700799,2.1884437,1.992114,False,True,True,True,True
0.01,15,50,2.4723837,2.2488227,1.9168537,1.7828795,False,True,True,False,False
0.01,15,100,2.0148075,1.878167,1.6776824,1.5935761,False,True,False,False,False
0.01,15,200,1.7876914,1.703863,1.617637,1.5687469,False,False,False,False,False
0.02,15,10,11.78999,6.2470627,2.8264213,2.7199051,False,True,True,True,True
0.02,15,20,8.196718,4.453312,2.3194032,2.3826854,False,True,True,True,True
0.02,15,30,6.6949673,3.6933784,2.1767142,2.1960676,False,True,True,True,True
0.02,15,50,5.2377634,2.9315064,1.779084,1.7814863,False,True,True,False,False
0.02,15,100,3.8147156,2.2752478,1.6199898,1.6209816,False,True,True,False,False
0.02,15,200,2.9421563,1.9350364,1.5397491,1.5374469,False,True,False,False,False
0.0,16,10,1.856449,1.856449,4.7621784,4.7621784,False,False,False,True,True
0.0,16,20,1.631404,1.631404,3.5188506,3.5188506,False,False,False,True,True
0.0,16,30,1.5082716,1.5082716,2.8523073,2.8523073,False,False,False,True,True
0.0,16,50,1.4073311,1.4073311,2.4344945,2.4344945,False,False,False,True,True
0.0,16,100,1.3079789,1.3079789,2.0019007,2.0019007,False,False,False,True,True
0.0,16,200,1.397551,1.397551,1.8269522,1.8269522,False,False,False,False,False
0.01,16,10,2.1012664,1.5524238,2.1031072,2.6014287,False,True,False,True,True
0.01,16,20,2.0434072,1.7418756,1.6759665,1.9770103,False,True,False,False,True
0.01,16,30,1.7183954,1.4665467,1.5312465,1.7424219,False,False,False,False,False
0.01,16,50,1.6988341,1.5535407,1.4308556,1.5625653,False,False,False,False,False
0.01,16,100,1.6371769,1.5846072,1.3978941,1.4616244,False,False,False,False,False
0.01,16,200,1.5040913,1.4740585,1.4400772,1.4669805,False,False,False,False,False
0.02,16,10,9.11772,2.6282907,2.8172226,2.776379,False,True,True,True,True
0.02,16,20,6.3675733,2.020628,2.1855073,2.1701522,False,True,True,True,True
0.02,16,30,5.2491965,1.8948209,1.883547,1.8746719,False,True,False,False,False
0.02,16,50,4.0946536,1.572989,1.9616656,1.9640874,False,True,False,True,True
0.02,16,100,3.0490186,1.385401,1.5704602,1.5656859,False,True,False,False,False
0.02,16,200,2.4097517,1.43132,1.394654,1.398666,False,True,False,False,False
0.0,17,10,3.4131207,3.4131207,2.449229,2.449229,False,True,True,True,True
0.0,17,20,2.56873,2.56873,2.226052,2.226052,False,True,True,True,True
0.0,17,30,2.230938,2.230938,1.9407753,1.9407753,False,True,True,False,False
0.0,17,50,2.0181122,2.0181122,1.7976525,1.7976525,False,True,True,False,False
0.0,17,100,1.6845251,1.6845251,1.661279,1.661279,False,False,False,False,False
0.0,17,200,1.6199973,1.6199973,1.5161821,1.5161821,False,False,False,False,False
0.01,17,10,4.1869755,3.7364686,3.2182004,3.958015,False,True,True,True,True
0.01,17,20,3.090853,2.8186269,2.6995587,3.1496446,False,True,True,True,True
0.01,17,30,2.813998,2.6071634,2.4317417,2.7465053,False,True,True,True,True
0.01,17,50,2.3980868,2.252935,2.0113091,2.2436752,False,True,True,True,True
0.01,17,100,1.8687549,1.7708845,1.7146857,1.8575854,False,False,False,False,False
0.01,17,200,1.6759118,1.6180273,1.5879364,1.6704122,False,False,False,False,False
0.02,17,10,12.913379,6.460986,1.7804532,1.7777742,False,True,True,False,False
0.02,17,20,9.043922,4.615129,1.6507764,1.6953334,False,True,True,False,False
0.02,17,30,7.371861,3.7691839,1.6435579,1.6796913,False,True,True,False,False
0.02,17,50,5.7442193,3.0428421,1.6875504,1.6930666,False,True,True,False,False
0.02,17,100,4.300056,2.398061,1.4885912,1.4923261,False,True,True,False,False
0.02,17,200,3.2128832,1.8810875,1.4283416,1.4265473,False,True,False,False,False
0.0,18,10,3.6781392,3.6781392,4.00961,4.00961,False,True,True,True,True
0.0,18,20,2.8282428,2.8282428,2.6629055,2.6629055,False,True,True,True,True
0.0,18,30,2.521744,2.521744,2.5026875,2.5026875,False,True,True,True,True
0.0,18,50,2.0409667,2.0409667,2.1241918,2.1241918,False,True,True,True,True
0.0,18,100,1.7117903,1.7117903,1.865716,1.865716,False,False,False,False,False
0.0,18,200,1.6884242,1.6884242,1.6525859,1.6525859,False,False,False,False,False
0.01,18,10,4.9601326,4.339919,3.3484976,3.1115131,False,True,True,True,True
0.01,18,20,3.7103963,3.2879128,2.6285253,2.469995,False,True,True,True,True
0.01,18,30,3.0393374,2.729969,2.3061998,2.1952066,False,True,True,True,True
0.01,18,50,2.4760866,2.2473876,2.0706284,1.9839655,False,True,True,True,True
0.01,18,100,2.1177833,1.9830943,1.9058464,1.856726,False,True,True,False,False
